
  GPISRule1 => MS=956.00 , TWT=1148.00 , IdleAvg=342.33, WaitAvg=219.22, T=0.217s
  GPISRule2 => MS=891.00 , TWT=1274.00 , IdleAvg=267.83, WaitAvg=294.00, T=0.216s
  GPISRule3 => MS=1018.00, TWT=152.00  , IdleAvg=395.67, WaitAvg=218.89, T=0.217s
  GPISRule4 => MS=1018.00, TWT=152.00  , IdleAvg=395.67, WaitAvg=218.89, T=0.216s
  GPISRule5 => MS=933.00 , TWT=880.00  , IdleAvg=338.17, WaitAvg=237.56, T=0.217s

=== INSTANCE: test_small_flex_events_5_util0.95_ec0.08_nm10_v0.json (Machines: 10, Total Jobs Defined: 10) ===
  SPT     => MS=758.00 , TWT=4.00    , IdleAvg=305.60, WaitAvg=133.78, T=0.351s
  LPT     => MS=784.00 , TWT=162.00  , IdleAvg=333.80, WaitAvg=141.44, T=0.351s
  FIFO    => MS=732.00 , TWT=268.00  , IdleAvg=301.30, WaitAvg=130.00, T=0.351s
  LIFO    => MS=732.00 , TWT=268.00  , IdleAvg=301.30, WaitAvg=130.00, T=0.352s
  SRPT    => MS=913.00 , TWT=44.00   , IdleAvg=489.70, WaitAvg=134.33, T=0.351s
  OPR     => MS=775.00 , TWT=96.00   , IdleAvg=342.40, WaitAvg=122.78, T=0.351s
  ECT     => MS=913.00 , TWT=28.00   , IdleAvg=515.70, WaitAvg=125.33, T=0.351s
  LLM     => MS=732.00 , TWT=268.00  , IdleAvg=301.30, WaitAvg=130.00, T=0.351s
  Random  => MS=726.00 , TWT=190.00  , IdleAvg=291.10, WaitAvg=138.89, T=0.350s
  EDD     => MS=834.00 , TWT=0.00    , IdleAvg=434.10, WaitAvg=111.56, T=0.352s
  MST     => MS=834.00 , TWT=0.00    , IdleAvg=434.10, WaitAvg=111.56, T=0.351s
  GPISRule1 => MS=726.00 , TWT=0.00    , IdleAvg=316.80, WaitAvg=113.00, T=0.353s
  GPISRule2 => MS=913.00 , TWT=8.00    , IdleAvg=468.00, WaitAvg=119.78, T=0.352s
  GPISRule3 => MS=834.00 , TWT=0.00    , IdleAvg=434.10, WaitAvg=111.56, T=0.352s
  GPISRule4 => MS=834.00 , TWT=0.00    , IdleAvg=434.10, WaitAvg=111.56, T=0.353s
  GPISRule5 => MS=729.00 , TWT=24.00   , IdleAvg=302.40, WaitAvg=111.22, T=0.353s

=== INSTANCE: test_small_flex_events_6_util0.95_ec0.15_nm6_v0.json (Machines: 6, Total Jobs Defined: 10) ===
  SPT     => MS=937.00 , TWT=3.00    , IdleAvg=265.33, WaitAvg=169.22, T=0.218s
  LPT     => MS=1061.00, TWT=608.00  , IdleAvg=348.00, WaitAvg=157.56, T=0.224s
  FIFO    => MS=1142.00, TWT=92.00   , IdleAvg=454.83, WaitAvg=171.67, T=0.258s
  LIFO    => MS=1061.00, TWT=720.00  , IdleAvg=381.00, WaitAvg=172.56, T=0.220s
  SRPT    => MS=1148.00, TWT=596.00  , IdleAvg=423.17, WaitAvg=165.44, T=0.218s
  OPR     => MS=1185.00, TWT=622.00  , IdleAvg=481.33, WaitAvg=167.33, T=0.219s
  ECT     => MS=1061.00, TWT=196.00  , IdleAvg=396.50, WaitAvg=138.89, T=0.219s
  LLM     => MS=1142.00, TWT=92.00   , IdleAvg=454.83, WaitAvg=171.67, T=0.218s
  Random  => MS=1109.00, TWT=1256.00 , IdleAvg=375.33, WaitAvg=188.33, T=0.219s
  EDD     => MS=954.00 , TWT=92.00   , IdleAvg=287.50, WaitAvg=124.78, T=0.218s
  MST     => MS=919.00 , TWT=92.00   , IdleAvg=248.67, WaitAvg=118.11, T=0.219s
  GPISRule1 => MS=953.00 , TWT=96.00   , IdleAvg=251.67, WaitAvg=148.11, T=0.219s
  GPISRule2 => MS=1061.00, TWT=0.00    , IdleAvg=397.33, WaitAvg=123.44, T=0.219s
  GPISRule3 => MS=919.00 , TWT=92.00   , IdleAvg=248.67, WaitAvg=118.11, T=0.219s
  GPISRule4 => MS=919.00 , TWT=92.00   , IdleAvg=248.67, WaitAvg=118.11, T=0.220s
